Q_GDP_1	Q_GDP_Demand_1	Q_GDP_Demand_2_1
540,9592853	567,215879	524,7066675
543,5769357	572,0118724	529,2680636
543,1380193	572,0525216	529,1447197
547,19116	577,8730223	534,7671459
550,0851732	579,2265964	535,8470874
559,3371019	586,6531497	543,0903648
556,0531793	582,7234086	538,9682969
560,4672487	589,1883656	545,2285716
569,4943826	598,4661884	554,2277057
577,5972791	606,7390591	562,2855315
578,4942358	607,3999674	562,7470381
575,9693251	605,8655361	561,0070331
583,4267322	613,0139709	567,8765395
592,6971158	625,5426231	580,2070841
598,3844726	629,9794288	584,8572172
590,1699224	622,857287	577,1120579
600,1915572	633,7156054	587,6954107
593,8072508	627,8350604	581,5573284
601,877566	636,3045441	589,8314484
602,6957872	638,3321141	591,6499404
601,4967829	639,4726983	592,519113
606,1181558	647,3112741	600,1679574
611,4199263	654,5867873	607,2108249
607,6414628	650,7503571	603,142332
604,0757966	647,1028615	599,194576
608,232106	652,5177099	604,3912248
615,7389533	662,8165718	614,474536
613,7669192	660,6647651	612,1095307
619,7597949	663,1689979	614,2906327
621,2019196	666,9987539	617,906615
628,3473398	674,034439	624,7212888
635,1093477	680,9720562	631,4261443
640,100555	680,8396937	630,9892302
646,2664404	687,7029477	637,5908224
653,2246438	699,0554568	648,7296896
649,3781824	693,3790368	642,8212381
662,302069	704,209316	653,350224
663,1072199	709,2513153	658,1592257
653,9160191	700,669326	649,3643144
655,1568949	703,444257	651,900952
670,86432	718,7917463	666,9143365
676,3816574	725,6076918	673,1336568
677,0552786	724,0611487	670,5151711
685,2932877	736,2575372	683,1978584
699,6595978	737,995665	685,1828438
711,3319006	751,5459783	698,3724552
727,2178448	780,1887444	726,7789386
729,5177275	786,9796946	733,5057801
724,8820407	775,2462562	721,2593323
721,7355905	776,4066075	722,1705567
716,0771966	775,2677346	720,8152935
711,7633772	771,7191097	717,0248759
718,550307	775,8093249	720,7239344
708,8408444	763,6307401	708,2990666
708,5152363	763,9248518	708,3542256
708,2887684	765,4379096	709,6148739
715,8738918	772,1677005	716,0021978
712,1381818	768,9084514	712,4823544
709,5619831	764,9233568	708,2262047
711,1706303	764,851915	707,8861094
712,3402172	763,5184776	706,1840226
719,2888497	771,8228403	714,2366381
724,0650282	776,4060818	718,5618042
728,169405	779,8480398	721,5028597
739,5419423	790,7318416	732,2745871
754,0700327	804,3063912	745,0720226
760,599873	811,393639	752,3693698
759,2610785	814,1080002	754,8065388
767,0338458	823,5574892	763,9071179
767,0498235	825,6441785	765,7255907
766,5932344	827,4910946	767,2994447
765,8262588	827,3387644	766,8591769
769,7492894	829,6681787	768,8205413
780,2570292	841,135414	779,9748106
791,4648625	853,0528087	791,6311185
790,0566711	851,8951551	790,1879021
800,5880439	864,8729557	802,7935302
795,5208526	861,7799923	799,4163204
806,6889474	873,7550997	811,1155884
806,1832135	879,2470204	816,3133948
801,0378335	872,1264831	808,815444
807,3560408	881,5875124	817,9658762
808,1476751	880,6551321	816,7401356
812,6675218	882,2137368	817,9974302
812,1472615	879,5840893	814,9854407
813,0046497	883,6194087	818,7406004
816,1306745	888,6272545	823,4856203
820,5403561	894,5692046	829,1069097
830,6037337	904,7392392	838,8082613
831,6856094	906,1984182	839,9537823
826,9668276	901,8817769	835,3712204
826,0243372	902,1293133	835,3139263
841,2172096	917,967773	850,7356269
843,2354724	920,7358212	853,2080186
852,4576966	929,1156539	861,2679699
847,9767273	923,0653665	854,8873184
869,4249649	943,8511276	875,2780216
880,144891	949,278418	880,3439834
886,6618927	958,2778453	889,0324586
903,0253446	982,3874134	912,8496457
903,8892485	982,4186085	912,4686928
911,2571961	988,6546728	918,3846077
907,3932927	985,1545319	914,5629323
909,736753	991,3308069	920,4192581
922,3008337	1003,494828	932,1539406
928,1384745	1012,928642	941,2403945
924,4940448	1006,928698	934,9022558
919,0909077	1004,02747	931,6546316
919,857861	1005,236938	932,1138532
908,48504	996,1469792	923,0283337
906,4237954	995,4405	922,0251774
901,3190661	989,6739215	915,3810393
905,4701718	991,825651	917,585309
906,7542599	991,4430583	916,8478305
914,1354967	998,2368982	923,2896477
931,3300248	1013,085477	937,7870685
944,198057	1021,491946	945,7677141
963,0700401	1039,64991	963,5807923
975,6911301	1054,087436	977,6350929
985,200209	1077,063359	1000,238383
976,605195	1067,043143	989,7588786
968,9407814	1064,030641	986,3906383
962,655202	1059,864563	981,9155291
948,8726309	1046,520681	968,1924594
956,3531179	1050,900106	972,0551689
955,1611612	1047,039644	967,8302585
961,5185518	1051,307877	971,7510084
961,4399165	1050,485526	970,5378458
